rede,,TP,FP,TN,FN,AUROC,F1,accuracy,precision,recall/sensitivity,specificity
VGG16,0.0005,703,20,702,2,0.998,0.9846,0.9846,0.9723,0.9972,0.9723
VGG16,0.0007,703,25,697,2,0.998,0.9812,0.9811,0.9657,0.9972,0.9654
VGG16,0.0009,703,26,696,2,0.9979,0.9805,0.9804,0.9643,0.9972,0.964
VGG16,0.001,703,30,692,2,0.9979,0.9777,0.9776,0.9591,0.9972,0.9584
VGG16,0.003,703,77,645,2,0.9964,0.9468,0.9446,0.9013,0.9972,0.8934
VGG16,0.005,702,298,424,3,0.99,0.8235,0.7891,0.702,0.9957,0.5873
VGG16,0.007,704,521,201,1,0.9757,0.7295,0.6342,0.5747,0.9986,0.2784
VGG16,0.009,704,666,56,1,0.9505,0.6786,0.5326,0.5139,0.9986,0.0776
VGG16,0.01,704,690,32,1,0.9376,0.6708,0.5158,0.505,0.9986,0.0443
VGG16,0.02,705,722,0,0,0.8221,0.6614,0.494,0.494,1.0,0
VGG16,0.05,705,722,0,0,0.5,0.6614,0.494,0.494,1.0,0
VGG16,0.08,705,722,0,0,0.5,0.6614,0.494,0.494,1.0,0



VGG19,0.0001,699,108,614,6,0.9962,0.9246,0.9201,0.8662,0.9915,0.8504
VGG19,0.0003,700,111,611,5,0.9959,0.9235,0.9187,0.8631,0.9929,0.8463
VGG19,0.0005,700,121,601,5,0.9956,0.9174,0.9117,0.8526,0.9929,0.8324
VGG19,0.0007,700,133,589,5,0.9951,0.9103,0.9033,0.8403,0.9929,0.8158
VGG19,0.0009,700,142,580,5,0.9948,0.905,0.897,0.8314,0.9929,0.8033
VGG19,0.001,700,152,570,5,0.9945,0.8992,0.89,0.8216,0.9929,0.7895
VGG19,0.003,702,387,335,3,0.9889,0.7826,0.7267,0.6446,0.9957,0.464
VGG19,0.005,702,575,147,3,0.9787,0.7084,0.595,0.5497,0.9957,0.2036
VGG19,0.007,705,651,71,0,0.9604,0.6841,0.5438,0.5199,1.0,0.0983
VGG19,0.009,705,694,28,0,0.9388,0.6702,0.5137,0.5039,1.0,0.0388
VGG19,0.01,705,708,14,0,0.9262,0.6657,0.5039,0.4989,1.0,0.0194
VGG19,0.02,705,722,0,0,0.8632,0.6614,0.494,0.494,1.0,0
VGG19,0.05,705,722,0,0,0.7302,0.6614,0.494,0.494,1.0,0
VGG19,0.08,705,722,0,0,0.6148,0.6614,0.494,0.494,1.0,0
